Order ID,Consumer Type,Category,Sub Category,Amount,Quantity,Profit,Payment mode
KL-2018-5607031,Home Office,Office Supplies,Paper,224,11,103,COD
KL-2018-5607032,Home Office,Technology,Machines,486,3,78,EMI
KL-2018-5607033,Home Office,Technology,Phones,440,6,66,EMI
KL-2018-5607034,Corporate,Office Supplies,Appliances,249,1,3,COD
KL-2018-5607035,Corporate,Office Supplies,Labels,21,2,7,Credit card
KL-2018-5607036,Corporate,Office Supplies,Paper,170,5,25,UPI
KL-2018-5607037,Corporate,Office Supplies,Supplies,55,2,2,Credit card
KL-2018-5607038,Corporate,Technology,Copiers,527,2,11,Credit card
KL-2018-5607039,Home Office,Office Supplies,Labels,17,3,-8,Credit card
KL-2018-5607040,Corporate,Office Supplies,Fasteners,108,8,33,Credit card
KL-2018-5607041,Consumer,Office Supplies,Binders,26,1,-11,UPI
KL-2018-5607042,Corporate,Office Supplies,Envelopes,48,3,21,UPI
KL-2018-5607043,Home Office,Office Supplies,Binders,145,3,44,COD
KL-2018-5607044,Home Office,Office Supplies,Storage,48,3,8,EMI
KL-2018-5607045,Consumer,Office Supplies,Art,58,2,8,EMI
KL-2018-5607046,Consumer,Technology,Accessories,495,2,233,COD
KL-2018-5607047,Home Office,Office Supplies,Binders,12,2,3,Credit card
KL-2018-5607048,Home Office,Office Supplies,Storage,666,5,120,UPI
KL-2018-5607049,Home Office,Furniture,Bookcases,825,2,338,Credit card
KL-2018-5607050,Home Office,Office Supplies,Art,54,1,12,Credit card
KL-2018-5607051,Home Office,Office Supplies,Storage,889,7,59,Credit card
KL-2018-5607052,Home Office,Office Supplies,Art,28,1,4,Credit card
KL-2018-5607053,Consumer,Furniture,Chairs,73,1,-57,UPI
KL-2018-5607054,Consumer,Furniture,Chairs,69,3,-95,UPI
KL-2018-5607055,Consumer,Office Supplies,Fasteners,41,4,3,COD
KL-2018-5607056,Consumer,Office Supplies,Labels,54,5,8,EMI
KL-2018-5607057,Consumer,Office Supplies,Paper,55,3,3,EMI
KL-2018-5607058,Corporate,Furniture,Furnishings,20,1,4,COD
KL-2018-5607059,Corporate,Office Supplies,Binders,133,10,4,Credit card
KL-2018-5607060,Consumer,Office Supplies,Art,178,7,59,UPI
KL-2018-5607061,Home Office,Office Supplies,Paper,45,3,-26,Credit card
KL-2018-5607062,Consumer,Furniture,Bookcases,854,7,290,Credit card
KL-2018-5607063,Consumer,Office Supplies,Art,140,3,21,Credit card
KL-2018-5607064,Corporate,Office Supplies,Art,27,2,-22,Credit card
KL-2018-5607065,Corporate,Office Supplies,Storage,17,2,-1,UPI
KL-2018-5607066,Home Office,Office Supplies,Art,90,3,21,UPI
KL-2018-5607067,Home Office,Office Supplies,Art,207,4,77,COD
KL-2018-5607068,Corporate,Furniture,Bookcases,155,1,36,EMI
KL-2018-5607069,Corporate,Office Supplies,Fasteners,33,3,2,EMI
KL-2018-5607070,Corporate,Office Supplies,Storage,716,4,143,COD
KL-2018-5607071,Consumer,Furniture,Bookcases,987,6,-1012,Credit card
KL-2018-5607072,Consumer,Office Supplies,Art,116,5,-56,UPI
KL-2018-5607073,Consumer,Office Supplies,Binders,22,3,7,Credit card
KL-2018-5607074,Consumer,Office Supplies,Art,55,1,10,Credit card
KL-2018-5607075,Consumer,Office Supplies,Storage,97,2,31,Credit card
KL-2018-5607076,Consumer,Furniture,Tables,268,2,-342,Credit card
KL-2018-5607077,Consumer,Office Supplies,Labels,40,5,6,UPI
KL-2018-5607078,Consumer,Furniture,Chairs,"1,384",3,14,UPI
KL-2018-5607079,Consumer,Office Supplies,Art,103,2,20,COD
KL-2018-5607080,Corporate,Furniture,Bookcases,552,5,165,EMI
KL-2018-5607081,Corporate,Office Supplies,Art,257,5,49,EMI
KL-2018-5607082,Corporate,Office Supplies,Binders,17,2,6,COD
KL-2018-5607083,Corporate,Technology,Machines,522,2,21,Credit card
KL-2018-5607084,Home Office,Furniture,Chairs,290,5,70,UPI
KL-2018-5607085,Consumer,Office Supplies,Paper,34,2,-6,Credit card
KL-2018-5607086,Consumer,Office Supplies,Binders,9,3,-3,Credit card
KL-2018-5607087,Consumer,Office Supplies,Labels,22,4,-12,Credit card
KL-2018-5607088,Consumer,Office Supplies,Paper,50,2,-38,Credit card
KL-2018-5607089,Consumer,Office Supplies,Storage,198,2,-131,UPI
KL-2018-5607090,Consumer,Office Supplies,Art,31,5,-14,UPI
KL-2018-5607091,Consumer,Office Supplies,Labels,32,3,10,COD
KL-2018-5607092,Consumer,Office Supplies,Binders,13,1,5,EMI
KL-2018-5607093,Consumer,Office Supplies,Binders,52,4,20,EMI
KL-2018-5607094,Consumer,Technology,Accessories,88,3,18,COD
KL-2018-5607095,Corporate,Technology,Copiers,570,3,-217,Credit card
KL-2018-5607096,Consumer,Office Supplies,Storage,28,1,-1,UPI
KL-2018-5607097,Consumer,Office Supplies,Binders,21,3,11,Credit card
KL-2018-5607098,Consumer,Office Supplies,Binders,12,2,4,Credit card
KL-2018-5607099,Consumer,Office Supplies,Art,78,3,20,Credit card
KL-2018-5607100,Corporate,Office Supplies,Paper,13,1,-8,Credit card
KL-2018-5607101,Corporate,Technology,Copiers,86,1,0,UPI
KL-2018-5607102,Corporate,Technology,Phones,584,8,-59,UPI
KL-2018-5607103,Corporate,Office Supplies,Supplies,38,1,18,COD
KL-2018-5607104,Corporate,Technology,Phones,587,1,104,EMI
KL-2018-5607105,Corporate,Office Supplies,Art,44,2,8,EMI
KL-2018-5607106,Consumer,Furniture,Bookcases,729,2,241,COD
KL-2018-5607107,Consumer,Furniture,Chairs,266,4,23,Credit card
KL-2018-5607108,Consumer,Office Supplies,Art,57,1,1,UPI
KL-2018-5607109,Consumer,Office Supplies,Art,116,4,13,Credit card
KL-2018-5607110,Consumer,Technology,Phones,162,2,43,Credit card
KL-2018-5607111,Consumer,Office Supplies,Paper,46,5,-41,Credit card
KL-2018-5607112,Consumer,Technology,Accessories,44,2,-8,Credit card
KL-2018-5607113,Consumer,Technology,Copiers,550,6,-236,UPI
KL-2018-5607114,Consumer,Technology,Machines,89,3,-76,UPI
KL-2018-5607115,Corporate,Office Supplies,Storage,248,2,8,COD
KL-2018-5607116,Corporate,Technology,Copiers,379,1,140,EMI
KL-2018-5607117,Home Office,Office Supplies,Art,91,6,-62,EMI
KL-2018-5607118,Consumer,Office Supplies,Storage,149,3,15,COD
KL-2018-5607119,Consumer,Office Supplies,Art,112,4,4,Credit card
KL-2018-5607120,Consumer,Office Supplies,Binders,50,4,6,UPI
KL-2018-5607121,Consumer,Technology,Machines,208,2,12,Credit card
KL-2018-5607122,Corporate,Office Supplies,Labels,31,3,11,Credit card
KL-2018-5607123,Consumer,Office Supplies,Fasteners,110,6,22,Credit card
KL-2018-5607124,Home Office,Furniture,Bookcases,368,3,15,Credit card
KL-2018-5607125,Home Office,Office Supplies,Art,93,2,24,UPI
KL-2018-5607126,Home Office,Office Supplies,Binders,85,3,18,UPI
KL-2018-5607127,Home Office,Office Supplies,Fasteners,48,3,5,COD
KL-2018-5607128,Home Office,Office Supplies,Storage,60,4,-3,EMI
KL-2018-5607129,Consumer,Office Supplies,Art,133,5,5,EMI
KL-2018-5607130,Consumer,Office Supplies,Binders,80,7,21,COD
KL-2018-5607131,Corporate,Furniture,Furnishings,267,3,90,Credit card
KL-2018-5607132,Corporate,Office Supplies,Envelopes,55,4,-19,UPI
KL-2018-5607133,Corporate,Office Supplies,Storage,91,3,-2,Credit card
KL-2018-5607134,Corporate,Furniture,Bookcases,780,2,117,Credit card
